0	924
0	407
1	1018
1	1036
1	758
1	16732
2	6561
2	4177
3	209
3	367
3	283
3	703
4	3718
4	5797
5	4630
5	1845
5	4416
5	6407
5	6186
6	8195
6	336
6	471
6	711
6	266
6	161
6	722
6	216
7	5465
7	17088
7	6124
7	3639
7	4803
8	339
9	322
10	7454
11	4715
11	4253
11	7089
11	4088
11	4176
11	6476
11	4466
12	13
13	12
13	2838
14	4151
14	1590
14	1923
14	2295
14	5698
14	1827
14	2946
15	509
15	948
15	495
15	734
16	4628
16	5465
16	189
16	6124
16	3639
16	325
16	16860
17	9435
17	9054
17	9341
17	7691
17	9527
18	3751
18	304
18	5622
18	4360
18	4721
18	5624
18	1918
18	4690
19	1472
19	2274
19	4253
19	4254
19	6046
19	4140
19	6437
19	4664
19	1824
19	6349
19	4218
19	1885
19	5508
19	694
19	6928
20	8468
20	12715
20	8184
20	7446
20	10517
21	3655
21	1902
21	6748
21	4667
21	5490
21	4264
21	6703
21	4065
22	6562
23	5603
23	4196
23	5687
23	4102
24	2805
24	7060
24	1674
24	2172
24	4711
24	6945
24	5903
24	4361
24	3277
24	4579
25	5681
26	11048
26	11197
26	7011
26	16016
26	5741
26	194
26	11099
26	15751
27	3792
27	4681
27	3911
27	5035
28	14200
29	5700
29	4014
29	7162
29	1714
30	14767
30	4931
30	2516
30	7015
30	1998
30	6020
30	6040
30	16029
31	1804
31	5465
31	2091
31	4628
31	6784
31	6951
31	6124
31	3639
31	4803
31	325
31	531
31	2207
32	416
33	3951
33	6248
33	4578
34	14833
34	339
35	2931
35	1862
36	8975
36	9587
37	3621
37	2080
37	3742
37	6755
37	3126
38	5838
38	3806
38	2446
38	4625
38	5045
38	4930
38	1588
38	1283
38	3920
39	6009
39	15994
39	4931
39	3063
39	249
39	17015
39	828
39	16119
39	16522
39	11079
39	17459
39	273
39	16530
40	10598
41	478
41	279
41	127
42	17488
42	579
42	8779
42	445
42	7491
42	7537
42	396
43	3042
43	53
43	1956
43	3246
43	6596
43	1852
43	2494
43	6379
43	1987
43	5911
43	4371
43	6540
43	2139
44	5965
44	5663
44	597
44	4302
44	5899
45	9683
45	5780
45	10464
46	3751
46	4047
46	6813
46	4637
46	1860
46	3595
46	3795
46	6173
46	5624
46	5891
46	4271
46	4083
46	4690
46	5945
46	6841
46	6326
46	3636
46	16117
46	6313
46	4364
46	1444
46	3639
46	3791
47	397
47	529
48	12682
48	1055
48	9070
48	712
48	16568
48	400
48	905
48	5139
48	5035
49	3673
49	5834
50	16038
51	16038
52	2468
52	1797
52	582
53	5633
53	3171
53	6981
53	4517
53	5480
53	4371
53	6380
53	43
54	6831
54	5495
54	2742
54	4119
54	2406
54	6506
55	10916
56	6749
56	3929
57	6474
57	6692
57	1923
57	4800
57	6367
